


craft cocktail party

summer daze,,5
shake,45.0 ml,rum
highball,15.0 ml,suze
,15.0 ml,lime juice
,15.0 ml,lemon juice
,23.0 ml,pineapple syrup
,8.0 ml,tea syrup
,60.0 ml,soda

pacific swizzle
shake,60.0 ml,rum
crushed ice,23.0 ml,tea syrup
,15.0 ml,lime juice
,8.0 ml,passion fruit puree

champs-elysees
shake,60,cognac
up,23,triple sec
,5,green chartreuse
,23,lemon juice
,8,rich syrup
,2,ango bitters

martinez,,5
stir,45.0 ml,gin
up,30,red vermouth.
,5,maraschino liqueur
,2,ango bitters

flatiron martini
stir,8,triple sec
up,45,stoli oranj / eristoff lime
,45,bianco vermouth

gin blossom
stir,45,gin
up,45,bianco vermouth
,23,apricot eau-de-vie
,2,orange bitters

juniperotivo,,3
shake,60,gin
up,23,grenadine
,23,juniper syrup
,30,lime juice

jam cosmo,,5
,45,citrus vodka
,23,triple sec
,15,lime juice
,8,rich syrup
,8,jam

brandy crusta 
shake ,60,cognac
up,15,triple sec 
,15,maraschino liqueur
,1,ango bitters 
,23,lemon juice

hurricane (craft cocktail party),,4
shake,90,jamaican rum
crushed ice,45,lemon juice
,45,passion fruit syrup
